run_tag,dataset,algo,reward_mode,baseline_toks_s,dflash_toks_s,speedup_vs_baseline,conc,n,tau,accept_rate,verify_s,draft_tok_s,draft_ms_cycle,verify_ms_cycle,mode_bs,bs_hist,artifact
prefix_len_effect_20260305_summary,,,,,,,,,,,,,,,,,
sg_dyn_single_20260302_185139,gsm8k,,,810.71,1675.06,2.066,16,128,6.354,0.355,273.93,4108.97,,,16,,logs/sg_dyn_single_20260302_185139.log
sg_dynamic_c16_20260302_055145,gsm8k,,,,2013.78,,16,256,6.030,0.410,348.20,4374.12,0.229,1.296,16,"16:69.5%, 8:30.5%",logs/sg_dynamic_c16_20260302_055145/sg_dynamic_c16_20260302_055145.log
sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp01,gsm8k,ucb,throughput_proxy,,2692.14,,16,128,5.137,0.519,536.36,4273.56,0.200,1.087,8,"8:79.6%, 12:16.7%, 16:3.8%",logs/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp01/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp01.log
sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp02,gsm8k,ucb,throughput_proxy,,2677.85,,16,128,5.137,0.519,533.52,4250.89,0.201,1.088,8,"8:79.6%, 12:16.7%, 16:3.8%",logs/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp02/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp02.log
sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp03,gsm8k,ucb,throughput_proxy,,2671.87,,16,128,5.137,0.519,532.32,4241.39,0.203,1.091,8,"8:79.6%, 12:16.7%, 16:3.8%",logs/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp03/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp03.log
sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp04,gsm8k,ucb,throughput_proxy,,2677.61,,16,128,5.137,0.519,533.47,4250.50,0.202,1.090,8,"8:79.6%, 12:16.7%, 16:3.8%",logs/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp04/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc025_texp04.log
sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp01,gsm8k,ucb,throughput_proxy,,2710.85,,16,128,5.296,0.482,525.16,4668.80,0.205,1.118,8,"8:62.5%, 12:27.8%, 16:9.7%",logs/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp01/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp01.log
sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp02,gsm8k,ucb,throughput_proxy,,2650.61,,16,128,5.347,0.478,508.98,4612.11,0.212,1.160,8,"8:58.5%, 12:31.5%, 16:10.0%",logs/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp02/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp02.log
sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp03,gsm8k,ucb,throughput_proxy,,2638.62,,16,128,5.332,0.483,508.27,4521.58,0.213,1.153,8,"8:62.6%, 12:27.3%, 16:10.1%",logs/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp03/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp03.log
sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp04,gsm8k,ucb,throughput_proxy,,2649.27,,16,128,5.347,0.478,508.72,4609.77,0.213,1.160,8,"8:58.5%, 12:31.5%, 16:10.0%",logs/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp04/sg_gsm8k_c16_ucb_powerlaw_grid_20260306_003824_ucbc05_texp04.log
